epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.6279,1.74835,3.26114,1.6525,0.00837,0.73039,0.17758,0.1208,1.41909,3.37968,1.45409,7.145e-05,7.145e-05,7.145e-05
2,80.7704,1.37297,2.98839,1.44965,0.01115,0.79044,0.34529,0.24113,1.24937,3.29533,1.31896,0.000154078,0.000154078,0.000154078
3,120.533,1.3021,2.52303,1.38471,0.01573,0.81863,0.33793,0.23556,1.34184,3.18583,1.35554,0.00023331,0.00023331,0.00023331
4,163.571,1.28947,2.21957,1.35419,0.01735,0.82353,0.31362,0.223,1.38154,3.06519,1.39087,0.000309147,0.000309147,0.000309147
5,203.098,1.16251,1.92187,1.32584,0.68438,0.23674,0.47452,0.35917,1.27153,2.78548,1.31259,0.000381589,0.000381589,0.000381589
6,239.17,1.20298,1.83934,1.34901,0.71969,0.40633,0.57949,0.44387,1.30236,2.54411,1.36833,0.000450635,0.000450635,0.000450635
7,275.255,1.20245,1.81621,1.29892,0.78767,0.54678,0.62571,0.4536,1.25267,2.30249,1.3778,0.000516286,0.000516286,0.000516286
8,311.673,1.11649,1.57164,1.23836,0.53883,0.48213,0.54781,0.41724,1.43357,2.55898,1.404,0.000578542,0.000578542,0.000578542
9,348.225,1.19965,1.70287,1.2967,0.63116,0.57484,0.56836,0.43864,1.31836,2.39407,1.34431,0.000637403,0.000637403,0.000637403
10,384.418,1.14187,1.5513,1.26089,0.45563,0.56991,0.48655,0.35858,1.28607,2.43992,1.38058,0.000692868,0.000692868,0.000692868
11,421.22,1.04633,1.48296,1.1934,0.42303,0.58965,0.56858,0.40947,1.34734,2.37732,1.44039,0.000744938,0.000744938,0.000744938
12,460.513,1.11461,1.48629,1.23745,0.47516,0.62329,0.60901,0.42989,1.30184,2.31752,1.37479,0.000793612,0.000793612,0.000793612
13,498.645,1.07062,1.45255,1.22093,0.49834,0.61275,0.62039,0.4255,1.35684,2.58035,1.39125,0.000838892,0.000838892,0.000838892
14,536.961,1.09546,1.4352,1.20764,0.73409,0.49551,0.67417,0.43451,1.45556,2.05745,1.55252,0.000880776,0.000880776,0.000880776
15,573.464,1.04126,1.35098,1.22292,0.62714,0.64011,0.70045,0.47888,1.42763,1.86393,1.47028,0.000919264,0.000919264,0.000919264
16,610.949,1.06228,1.41181,1.22681,0.60804,0.6489,0.63062,0.45813,1.38125,1.93725,1.40658,0.000954358,0.000954358,0.000954358
17,650.06,1.09572,1.44575,1.23427,0.64728,0.62265,0.61793,0.40442,1.49548,2.0906,1.52208,0.000976293,0.000976293,0.000976293
18,690.254,1.06155,1.37124,1.20842,0.69832,0.59433,0.6251,0.39546,1.4075,1.9846,1.54478,0.000947999,0.000947999,0.000947999
19,731.675,1.06022,1.34451,1.22245,0.71691,0.58626,0.63118,0.43083,1.373,1.90582,1.49747,0.000919704,0.000919704,0.000919704
20,775.909,1.0438,1.28504,1.21631,0.64336,0.56046,0.61044,0.42665,1.30844,1.86973,1.40217,0.00089141,0.00089141,0.00089141
21,821.409,0.99943,1.23494,1.14381,0.6091,0.51384,0.60011,0.41208,1.37619,1.89532,1.45499,0.000863116,0.000863116,0.000863116
22,865.46,1.01659,1.2279,1.17132,0.61965,0.59147,0.65455,0.46877,1.33113,1.78836,1.44988,0.000834822,0.000834822,0.000834822
23,909.038,0.98093,1.22799,1.14818,0.64237,0.57026,0.6223,0.46015,1.34234,1.89185,1.42599,0.000806528,0.000806528,0.000806528
24,952.625,0.94654,1.18972,1.14947,0.68909,0.66736,0.66269,0.50254,1.3354,1.91403,1.32403,0.000778233,0.000778233,0.000778233
25,996.448,0.94605,1.13169,1.1543,0.78493,0.62605,0.70011,0.54385,1.26912,1.78466,1.29273,0.000749939,0.000749939,0.000749939
26,1041.5,0.97002,1.15631,1.14223,0.77356,0.68129,0.74111,0.57819,1.28013,1.63806,1.29322,0.000721645,0.000721645,0.000721645
27,1088.23,0.92631,1.08566,1.14339,0.76002,0.6732,0.76322,0.57585,1.25981,1.58118,1.29002,0.000693351,0.000693351,0.000693351
28,1132.09,0.89635,1.08087,1.12417,0.77408,0.78254,0.81326,0.60185,1.25352,1.5027,1.31678,0.000665057,0.000665057,0.000665057
29,1172.94,0.87557,1.06245,1.11364,0.69782,0.78799,0.79798,0.57872,1.24133,1.52475,1.31189,0.000636762,0.000636762,0.000636762
30,1214.93,0.88997,1.0961,1.10795,0.64761,0.78375,0.76657,0.53815,1.24743,1.59683,1.33229,0.000608468,0.000608468,0.000608468
31,1256.54,0.9336,1.07199,1.12931,0.82996,0.65839,0.77534,0.56133,1.22465,1.56081,1.28143,0.000580174,0.000580174,0.000580174
32,1308.16,0.86157,1.01015,1.10329,0.79295,0.83333,0.81512,0.61447,1.17033,1.37368,1.24836,0.00055188,0.00055188,0.00055188
33,1363.46,0.91837,1.0329,1.10428,0.7658,0.84681,0.82018,0.62292,1.14323,1.36903,1.23925,0.000523586,0.000523586,0.000523586
34,1418.6,0.86856,0.97301,1.06333,0.77527,0.81481,0.81465,0.61539,1.15225,1.39625,1.24077,0.000495291,0.000495291,0.000495291
35,1476.86,0.86487,0.9698,1.09021,0.84452,0.73317,0.80434,0.60677,1.14398,1.41876,1.24242,0.000466997,0.000466997,0.000466997
36,1535.46,0.88655,1.00414,1.12447,0.79825,0.75317,0.79741,0.57577,1.14864,1.47791,1.2573,0.000438703,0.000438703,0.000438703
